,Content,Polarity
735,buen dias merezc {link},0
736,clar ivan “ mañan voy desvirtualiz logroñ dedicatoria-bonus tuiter elprimernaufragio”,0
737,jur hoy carg pens toc mañan - abraz,0
738,pued volv recort salari trabaj public mientr gast m accion exteriorm lengua m deficit d tv,1
739,boe soñ {link} rajoy president,0
740,conozc graci gran hernanrt {link},0
741,si mañan pasadojaj,0
742,notici descombac dispon {link} ▸ histori dia,0
743,circul part vid “ prepar present atend llam gent quier acud circulologroñes”,0
744,subvencion public dec cos cultur {link},1
745,tan ric,0
746,oper retir punt victor finaliz exit clinic galvez {link},0
747,hoy ido regal anna aqu dej vide feliz navid {link},0
748,cuant tiemp tard algun ministr cerr cuent twitt ministr,1
749,preocup deriv argentin libert democraci period milit period complic {link},1
750,ciert - rt sol torn mejor cre buen ambient trabaj,0
751,cad lagrim derram suen sonris razonesparacr,0
752,edicion especial composicion nuev gobiern part hasr,0
753,conoc doctrin tc libert expresion pos busc evit fot movil rubalc {link},1
754,c martinez alcald sori quer implic ciudadan milit muchopsoeporhac {link},0
755,salv proxim medi hor cambi rajoy consegu nunc logr aznar zapater filtr gobiern,0
756,rajoy vuelv aquell muev fot sal,1
757,web monclo musiquill,1
758,suscrib negat ser tertulian observ dos guind habl rne,0
759,ana botell alcaldes moment tt,1
760,dud contrari “ pues victor gibell hac unas fot estupend terruño”,0
761,encant ana mat conozc sensibil frent asunt social -,0
762,anecdot nuev ministr exterior enfad alcaz despach pil prim river {link},1
763,apunt gobiern papanat mediat pod omnimod rajoy par ratonmuch ruid poc nuec,1
764,bon emit centraliz x tesor europe respald conjunt d pais rt,0
765,buen noch familia-,0
766,conoc garcia-margall hac tres años brusel sorprend competent solvenci materi econom /,0
767,gust composicion gobiern present hoy gust,0
768,gran cit rt apropi hoy cit ningun gobiern mejor hombr integr john kennedy,0
769,parec person decenteparlmentari años conmigos respet pe,0
770,mañan moment clos desastr ministr industri promet carg ministr justici,1
771,gobiern premi merec saenz santamariamargall eurodiput respet bruselaspastormatobañez fam buen gestor,0
772,juan moscos proyect credibil part {link} via,0
773,gobiernorajoy sobrad prepar iron port cuant pelote pedr j hac perdon,1
774,jajaj,0
775,grand ahor volvi años atras p {link},0
776,dese mejor nuev ministr gobiern conjunt,0
777,enhorabuen tv ayer shar total impresion cañ td oeoeoeoeoeoeoe oe,0
778,oeoeoeoeoeoeoe oe oe bien,0
779,estepon llev juzg irregular detect subvencion {link},1
780,rajoy hiz mix jur bibli mit camb constitu atent jueg man {link},1
781,habl desaparec cooper internacionalper boe leid secret aaee cooper,1
782,si voy madrid- rt supuest sevill ver -,0
783,soray saez santamari dic trabaj esfuerz teson humild dialog moder,0
784,trabaj jorg nuev guion conoc ocho años {link},0
785,nombramient bien merec rajoy premi terc miembr trident econom pp {link},0
786,compral arrepent nach “ compr compr {link},0
787,ministr ex gatotertulian vay luj vay ojo,0
788,acab aprob presupuest comun madr presupuest auster equilibr dinamiz econom,0
789,guind estren dic q español sab tom decision acert moment adecu dir rajoy,0
790,retras plen asambleamadr h,1
791,jos ignaci wert hoy ministr educ sid articul beliger defens sistem electoral bipartid,1
792,tesis cronic boxe manuel alcant recuper gener {link},0
793,felic tod bes malag rt compañer diput asambleamadr - {link},0
794,ays andre andre casiraghi carnet conduc corr demasi {link},1
795,quer parlament reprueb consell mas-colell pisot derech laboral trabaj public {link},1
796,rt graci entrev ayer disfrut graci bes,0
797,“ “ ocho cad diez dar regal dia rey seis nochebuena” recib dias,0
798,hech gobiern competent {link} via,0
799,margall recuper secret iberoamer {link},0
800,“ felic pas feliz dia amor muaaaak”muchisim graci guapeton muaksss,0
801,empez telesuces si quier inform criteri telediari,0
802,sorte jueg balon firm plantel argentin anot {link},0
803,aqui frent guggenheim dolor pies import esebotx,1
804,graci rein mor besaz lindur “ enhorabuen rubiaaaaa nuev aventur guapa”,0
805,anim compañer adn,0
806,“ repsol ali sandridg extra gas convencional eeuu {link},0
807,“ pp usa rodill volv “exiliar” azañ apart bust dias despues inaugur {link},1
808,viend amiguet impresion imit eduard gomez flippy mat prats shakir nadal {link},0
809,buen noch paz noch amor followercet amor {link},0
810,“viv mund escond hac amorper violenci c practic plen luz dl diafelizdiadelorgasmoglobalporlapaz,1
811,mal notici adn cierr abraz compañer redaccion much suert,1
812,graci felicit flor tartasois mejor graci quier,0
813,hech remolonper lleg suen bienviern diciembrehoy ultim program losdesayunosdetv,0
814,eeuu invad iraq busc inexistent armas destruccion masiv ahor sab arma destruccion ejercit eeuu,1
815,larg sueñ ciud {link},0
816,igul ff rt quer malageñ felic fiest,0
817,regal sonris merezc amor valor vid ame feliz navid - {link},0
818,rajoy fia cre bildu institu si exist eta {link} via,1
819,val val ff followercet,0
820,feliz navid angel,0
821,mil ff rt ff unic exclus intransfer much cos hedich,0
822,graci - rt ff graci abraz ayer senti cariñ graci,0
823,consej gob proyect decret ayud incentiv comercializac product servici ext traves sociedad comercializ,0
824,comienz presion activ antiabort manifiest puert monclo dia prim consej,1
825,much graci sol,0
826,ahor mas admit modul repag progres med injust reaccionari admit modul,1
827,iberoci “ clar extremeñ cop davislastim qestoy badajoz si nom acerc tocarla”,0
828,hoy cartay person mayor merec compromis cariñ respet,0
829,nombramient esper quequ pendient daran proxim consej,0
830,raban jajajaj pris trabaj,0
831,dad aversion rued prens rajoy santam va ten gran presenci fij posicion gobiern,1
832,rulehac esquem sab quien dond psoeentr manifiestocart respuestay heperd,1
833,oooooops sorry garcia-legaz secretari comerci turism,1
834,algun famili necesit jueguet regal,0
835,paz amor esper mujer hombr telemadr,0
836,elmund acab lanz nuev tiend ebooks {link},0
837,veo abre link notici ayto bcn vuelv {link},1
838,yes regal padr entrad terrat pack hacedl bien eh”,0
839,impag segundo- rt ver lleg polit upy d hac gi {link},0
840,mayor bien cuant pong je je je simbolill mod iron on pierd,0
841,“jajaj cre peor vi {link} incun,1
842,tras años magnif esper pas tan buen graci ex compañer salud nuev,0
843,ide sensat,0
844,cas chimene pap noel entra microond facil,1
845,opin inma castill cortaz numerit bildu etb,1
846,generalitat dic diner pag funcionari cont diner,1
847,echar men sid ejempl chic d tratadl merec suert,0
848,{link} aqu videocapitul alzir bes,0
849,sostien sig neg rubalc chacon tras manifiest precipit apuest rubalc da pas mart,1
850,aqui prepar nuev disc,0
851,prim mart - pic — {link},0
852,prens seri - rt boligraf trag muj hac años aun escrib {link},0
853,si tod felic dese dias convirt trabaj tod dignid viv hogar,0
854,rt sig esper twitt chori,1
855,sony invent bat funcion papel tritur {link} via,0
856,cni pas vicepresident evolu servici inteligent {link},0
857,igual - rt bes enorm felicesfiest -,0
858,nostalgi drog impid ver cos tal the walking dead,1
859,nostalgi drog impid ver cos tal the walking dead,1
860,asi rt pasit iguald discapac,0
861,cociner dic met pas piñon error asunt sequ elpavoesmuysecorr,1
862,cerd adel mañan pav ventaj muert,0
863,va acab fatal gent cre cen,1
864,maravill nuev medi expresion twitt disfrut moment absurd esencial frivol real twitternacion,0
865,rt injust q parid habl muj prepar q hombr supong siempr prepar,1
866,color tod ideolog tod raz religion feliz {link},0
867,hech rt quier hac regal navid medic fronter alcanz followers ayud,0
868,muchisim graci borj bes enorm felicesfiest -,0
869,mejor form garantiz segur trop exterior envi nadi llam retir afganistan,1
870,pon nervios part benef tra espiniller cas,1
871,famili desahuci viviend prim semestr mayor emple pud pag l hipotec justici,1
872,hac twitteroff dese pas feliz nochebuen estupend navid felic com perdic -,0
873,part recaud fond afect fibrosis quistic retransmit sep,0
874,aqu primer felicit victor diseñ elabor mism ipad man - {link},0
875,feliz navid amig pajarit {link},0
876,feliz navid graci encontr aqu se siempr acert pued asegur siempr intent nunc escond,0
877,felic nuev trabaj feliz,0
878,recuerd especial noch pas separ cuid segur bienest graci,0
879,felic fiest pap noel traig much cos rey esper bes abraz,0
880,encant cuentame“ des ver car famili vean regal navidadepn ”,0
881,feliz noch feliz navid,0
882,qued mism finfeliz navid,0
883,feliz navid,0
884,igual - rt feliz navid marivi muchassonrisaslind,0
885,herman angel anoch - {link},0
886,b dias import discurs rey ejemplar etic iguald ley {link},0
887,feliz navid hoy pase famili anoch genial ris villanc regal acab despert notedigonaytelodigot,0
888,fuert rt atent iglesi nigerian mis navid dej muert - {link},1
889,amig escrib felicitar navidadfeliz navid,0
890,{link} pequeñ detall nuev experiencias/ its all cont {link},0
891,puñ antiabort emplaz gobiern rajoy monclo enseñ resist exig llor mam,1
892,dej inimit jam brown movimient fija trompet espald sex {link},0
893,gust vea,1
894,comet error individual colect sid saque recurs priv public enriquec,1
895,fech tan señal apunt ded sig feo moumoumou,1
896,mejor pas navid famili amig uds pas,0
897,“ estari bien unas buen noch hoy necesito adoro cieloo”buen noch,0
898,“ daviiii feliz navid amig fuert abrazooooo”igualmente-,0
899,buen noch famili dese siempr mejory siempr dar graci regal tener lad quier,0
900,rt hoooomg sant traj snifsnif’ portart mal ho ho ho,1
901,buen noch followercetesmañan aprox link apunt merendolatuiter qued friki pretension,0
902,zp sal ten ningun sentimient negat haci nadi haci {link},0
903,rt sig hac rt si pued don tan facil cuant click opcion {link} ayud cuer,0
904,gilipoll dic xq antigu inquilin imbecil,1
905,resac navideñ mas azuc postr dias analisis nuev gobiern atracon,1
906,apple trabaj bat telefon movil inteligent dur seman {link},0
907,cont accident n-v mostol dir madr medi hor km qued feliz navid,1
908,luis guind confirm españ volv entrar recesion prefier verd dur mient brotesverd,1
909,meriend simbol atracon ver car echar unas ris esper,0
910,qued entrad sient sabi interes qued chorr,1
911,nuev deleg gobiern andaluc prioriz guadalquiv emple {link},0
912,pp pso destac rey altur {link} via,0
913,juez denunci hacin centr 'sin papeles' {link},1
914,+ esencial jazz {link} via,0
915,usan tir basur {link},1
916,primer llamat caid produccion eolic {link},1
917,mil zapat nuev {link},0
918,cibermund social {link},0
919,pued fum com carn pued tir cohet pued beb cuent hac ruid tuit loconavidadeslight,1
920,intent disfrut marg,0
921,foment reduc cuart part inversion realiz cenicient nuev gobiern,1
922,rt “ palabr q hag justici pasion d ricard lizarrag x trabaj x gent,0
923,empez nuev ministr econom llam crecimient negat recesion transparenciapp,1
924,regal pap noel l quier l pong youtub leo masliah cont {link},0
925,niñ niñ ahor si pod mir hac cas indic tio santiag je je je {link},0
926,busqu nadi respet cultur pais lider descarg ilegales cont {link},1
927,buen dias,0
928,recort m d eur deficit d gobiern central dij rajoy compat m conjunt d administr,1
929,tild violenci machist violenci ambit famili recesion desaceler llam pan pan vin vin,1
930,saludosss “ salud persigu hac fot ifeb feri infanci,0
931,quien dich ana botell nuev alcaldes madr vot part popul {link} via,0
932,corrill ministr morenes cañet gallardon montor anim charl banc azul,0
933,intervien rey reconoc memori digin valent victim congres,0
934,termin intervencion rey cerr aplausomas brev nuev espontane viv rey levant pasionescongres,0
935,mod q entra presid junt andaluci tras march chav calladitosy ahor freir ana botell,1
936,ciert dij jessic aprovech lean biendij ver aprovech futur,1
937,lleg alcaldes botell congres recepcion posterior solemn jorn congres,0
938,minut aplaus rey aplaud r diez men vio fars {link},1
939,graci r regalit besaz monik {link},0
940,abiert decim legislatur cort español carg rey llamamient honradez señor trabaj comun,0
941,conozc ciud san luis maravill gent abrazot herman rt cont {link},0
942,dic haceimport europ futur jean-claud trichet project syndicat {link} via oped,0
943,acab termin muert acompañ sublim qued cort maravill vay siempr qued cort,0
944,guind cifr millon ajust aprob viern consej ministr / via elmund,0
945,angel leon arroz plancton hidromiel puert sant mari com igual sibarisforev {link},0
946,orgull form part dl equip dl año revist tan prestigi l'equip graci q vot,0
947,- malag lug prefer britan pas vacacion veran {link} via,0
948,hoy termin libr joan piqu dues vid buen recom x felicitats joan,0
949,guind cifr millon eur ajust gobiern present viern,0
950,envidi rist sol recib muestr cariñ feliz año nuev sab voy siempr vanguardi,0
951,currin amenaz rajoy echarl opinion public encim si continu proces paz,1
952,sub preci aliment acorral pobr pakistan {link},1
953,diput redescubr mural pintor francisc hernandez llev años ocult {link},0
954,si si sab jug patos verd rt cont {link},0
955,graci apoy gal premi ver tan ilusion nuev album mio premi mas grande-,0
956,año unid concordi {link},0
957,“ cumpli años aun tiemp si quier felicit jej besazo”felicidades-,0
958,“ si marc gol piens celebrarlo”con mortal atras supuest,0
959,mezcl inocent adelant anunci aqu twitt dentr medi hor,0
960,aprovech crisis justific recort privatiz servici public desregul econom,1
961,“ mexic tambi apoy encant mio”graci,0
962,much felic,0
963,buen dias inocent asi amanec madr {link},0
964,rt hoy dig buen dias pued marchen nuev victim violenci gener machism mat,1
965,feliz dia inocent pic pel sig igual jaaaaaa,0
966,person mas gust habl ayer congres gran gistau cont xq anda aqu,0
967,notici descombac dispon {link} histori dia,0
968,inaugur yacim arqueolog huert monter almendralej leg dl calcolit q lleg nuestrs dias,0
969,verd suen coñ hac public cuent cas real dia inocent,1
970,feliz dia inocent {link},0
971,seri buen ide dir iker rt subastareis camiset cont {link},0
972,diciembr grad malag delici viv aqu -,0
973,recopil libr gratis comun marketing social medi {link} via,0
974,dentist carl clinic font d'en farg dej boc bien {link},0
975,camin madr nervi jueg fataaaaaaaallll iker ¥&gt“,1
976,ahi t va cuatach rt heeey dam rt admir salud tabascomex,0
977,cuent bancari apertur dic portavoz policial radi horror,1
978,dioooo santiag segur va equip cre ahor si pued confirm serâ desastr,1
979,critic recomend “ sab hac critic espectacul encant conch velasco”,0
980,congel salari minim miseri auster ensañ debil favor fuert ley embud,1
981,aren cinic junt aplaud años zp dias critiqu rajoy {link} via,1
982,congres mand advertent fotograf e-mail si sac fot indeb retir acredit año maxim,1
983,mañan milit plasenci mediod tard albuer olivenz ayer coron reunion entrañ,0
984,fin confirm merendill d merendolatuiter heladit gentilez hel favorit tiemp hag dazs,0
985,direct manifest prov frent dator,1
986,esper seahal madr amig catalan abraz,0
987,greci gobiefn nuev capaz manten compromis {link},1
988,navidad sid protagon d tod comidascenasvillanc risasbes graci buen rat,0
989,cuatr ases marc personal onlin {link},0
990,rt trailers vist año par minut triunf {link},0
991,alucin color fap dic public fot movil rubal etic reprob quien sirv period,1
992,gran aqu bienven twitt abraz,0
993,tom decision public fot mil vec har etic libert licit relev hic bien,0
994,vuelv aplaud fot rubalc congres inform,0
995,jajajj rt ahi teneis car iker poem parec pel rocky balba dic {link},1
996,dond mandado“ ls mail xk ls respnd cntrat algui aunk ibarr + accesibles”,1
997,salud aunq tiemp “ estupend pod jug deb hac ejercicio”,0
998,prefier riber guadian -“ hac proyect cop oport man histori ”,0
999,chacon defiend primari abran simpatiz {link},0
1000,rt hambr contagi nadi preocup cur jos esquin {link} preocup,1
1001,aparent recib d regal fiestasq bien q esten disfrutandox ustds sig ls list d popular graci,0
1002,inform chapuz em demuestr letr cort clam ciel fap,1
1003,buen dias despert problem segu ahi resac,1
1004,fb ministr interior anunci volv exist direccion gneral polic direccion genral g civil,0
1005,rt “ interior suprim mand comun polic guardi civil {link},1
1006,ahi imput iñaki urdangarin negoci institut noos {link} via,1
1007,volcan elhierr vuelv emit material fin humeant {link} via ins geograf nacional,1
1008,si si pensadl asi puest salt correctory dad cuent perdon,1
1009,meneam si quier modesti ministr morenes {link},1
1010,enhorabuen carl “ lio abon orbyt € año”,0
1011,hoy present candidatur sg pso alfred perez rubalc hoy explic razon apoy {link},0
1012,urdangarin absolut respet tod resolu judiciales” “profund respet decision juez”,0
1013,aja “ mal sintom especial newt gingrich pod consegu firm mism vive”,1
1014,hoy encuentr prim - mamm mia {link},0
1015,“ mand pequeñ regal l emocion music padrin {link},0
1016,unamun facil militariz civil q civiliz milit qiz millan astray q dij venc convenc,1
1017,si si cos palentin telefon escrib palabr sol vec neg hahahahahah,1
1018,rubalc present candidat avis «nunc abandon reto» - abces {link} via,0
1019,rubalc consegu unid tod l social cambi resum proyect,0
1020,rt fin version promet explic blog famos fras dos tard {link},0
1021,rubalc dad clav problem pso ser ser nacional cos apropi,1
1022,lentill reclam extraccion au rev,1
1023,mañan mejor gadgets año tablet smartphon tel cam si pierd aqu {link},0
1024,much graci felicit tan liad pod contest personal agradezc muchisim,0
1025,mejor timelin dispon {link} histori dia,0
1026,pues parec entreten,0
1027,acuerd acuerd ver si algun escuch,0
1028,consejer galleg salud mañan numer ministeri sanid alli dej tarjet sanitari par aqu,1
1029,gran aciert d nombramient d nuev director gral polic puest central democraci,0
1030,coñ ido señalvay invent tdt,1
1031,list padr “ padr regal suscripcion orbyt christmasfacts”,0
1032,si codueñ pso pued aprob cuent vot consejer deleg algui fall deb cambi,1
1033,feliz viern ultim ole ole ole,0
1034,buen acto present hac equip constru discurs necesari españ realist sol social,0
1035,graci germ bes chic feliz,0
1036,much graci “ libr enganch primer pagin recomend regal navidades”,0
1037,ff sac lios met,0
1038,ultim ff año followers graci x ahi graci x tweets graci x cariñ feliz famili,0
1039,encant ir bilba encontr dic hij german niet fundador afhletic,0
1040,rebaj retribu retras pag pon peligr turn ofici comun valencian {link},1
1041,comparec tras cjo ministr vicepresident ministr econom haciend emple cuatr lleg recort cmin,1
1042,chavez “ convenc tuits hac pelot orbyt cre algun aplic secret je”,1
1043,proteg debil pension sub prorrog eur par recort sueld funcionari,1
1044,desviacion deficit sustancial superior dic vicepresident gob zp calcul cmin,1
1045,ruin,1
1046,dij iba hab sorpres pod cont gobiern anunci med hall deficit {link},1
1047,esfuerz esfuerz pag irpf,1
1048,sub siet punt irpf,1
1049,gobiern previs cumpl clasic herenci peor tem yno qued remedi sub impuest,1
1050,impuest ibi sub viviend mayor valor catastral cad municipi cmin,1
1051,dec pp sub impuest gener par par priorid,1
1052,laspsus fatim bañez acab baj salari minim interprofesional dich eur ahor rectif,1
1053,razon patronalsindicat part rebaj cuantiosisim subvencion tan sol socied va toler,1
1054,pp calcul deficit asi n escud imprevist ment,1
1055,encant camil gran escritor graci cariñ pur otriginal si si cont {link},0
1056,retuit “ chic orbyt acab darm alta aprovech ofert mañan dejeis pas,0
1057,numer sal € haciend dic calcul siguient escal tampoc sal,1
1058,gobiern dic pued aisl recort avecin gust esper ver dibuj definit,1
1059,sol recort sindicat patronal part,1
1060,entend toqu bolsill si dentr plan salg barat eficaz cambi,1
1061,esper aguirr marz llam rebelion sub iva cer patater zapater dir ahor rajoy hoy doy,1
1062,entran funcion farol eolic fotovolt proyect smartcity {link},0
1063,rt “ apoy peticion q “ rajoy condecor gran cruz carl iii coll isabel catolica”,0
1064,claroclar sobretod ahor program admiradorrt admir dig vend,1
1065,algui pens q iba toc pag desaguis estos echad cos hech empez dur,1
1066,funcionari ademas ten congel sueld trabaj dos hor medi practic recort salarial,1
1067,ojal año errad clas terror violenci machist mensajegriñ,0
1068,sub impuestosrecort palabr elimin diputacionesduplicidadesfund sociedad publicasfusion ayunt,1
1069,xd “ pepiñ conced gran cruz real distingu orden español carl iii avemariapurisima”,0
1070,aqu muestr sab hac mes {link},1
1071,quer mariv dese mejor merec bes enorm - feliz,0
1072,super dolor primer tertuli nuev tempor feliz,0
1073,sorprendent menam decid ultim articul duplic cerr {link},1
1074,dese mejor mejor tb merec graci tan cerc feliz,0
1075,ff feliz sid año malag,0
1076,much graci hech aqu ff especial siempr esper period,0
1077,primer nomin rajoy sub impuest recort gast acus fiscal {link},1
1078,feliz siempr dand cariñ preci,0
1079,españ merec mentir gobiern dich verd tom med valient sac situacion,0
1080,graci jos mar “ suscrit cre period investig quier sig asi”,0
1081,geranium “ gins favoritoshoy seri buen noch {link},0
1082,esper baby “ feliz año pedr j conocert sid tan emocion q invit firm pn ire”,0
1083,rajoy rectif hor ataqu direct estatut andaluc adivin sust javi aren {link},1
1084,geranium fev “ gin favorit refier ginebr tip tonic mañan quier sorprend fin año”,0
1085,feliz -,0
1086,hemerotecas/videotecas/fonotec persegu pied defend baj impuest gan profusion razon,1
1087,aprend vsotr pp siet años eh ahor prob propi medicinaqu ric,1
1088,buen diiiiiii amanec taxi {link},0
1089,eso“ gobiern condecor zp parec humill deb sent banquill hund españa”,1
1090,españ muev mill€ billet mayor negr pag impuest,1
1091,graci rt g r c i s compart sueñ ilusion tant sonris feliz año,0
1092,“ alto mand irani nieg lanzamient d misil hoy segun entonc imagen d archivo”,1
1093,buen dias esper noch merezc pen,0
1094,hemerotec videotec tem impuest pp moj ahor vuelv {link},1
1095,izquierd deb super resign renunci dogm sect capill irreconcili,1
1096,gobiern reconoc q regres fiscal felip segun cuent fuent ejecut q bien,1
1097,ahor result culp dramat situacion econom recort flac memori herenciapso,1
1098,“ dese feliz mand abraz besos” igual mejor lleg bes,0
1099,rajoynaz men consum produccion activ par riesg millon par registr epa poc mes,1
1100,salud paz {link},0
1101,rey juan carl llam president aleman ped cabez merkel diferencialconalemani {link},1
1102,q cambi quien gobiern quien oposicion cambi maner d hac polit confront mas mal,1
1103,“ insistent recompens € q dej orbyt q inform ruin q tra happyny”,1
1104,ves ana olvid “ esse quasi nan gigantium humeris insidentes”,0
1105,pais definit vuelv melancol,1
1106,d q lie cen niños dese mejor añosgraci segu aquiesper escrib leer,0
1107,abrazoooo,0
1108,aqu termin san silvestr feliz año nuev {link},0
1109,lun dig “ compr suscripcion bien sab cuant nuev orbyt adict consegu promo”,0
1110,moned union desventur {link} via,1
1111,rt “ maj fin año sig asi dias restantesfeliz,0
1112,ganador {link},0
1113,feliz -,0
1114,man abuel conviert viej complement cocin adorn navideñ nocheviej feliz {link},0
1115,acab eleg fot port em mañan ocup person relacion especial quien,0
1116,noch gazpach alvall simplement proced,1
1117,feliz año cambi andaluzesper veng carg mejor much salud trabaj amist nuev año,0
1118,igual oscar - rt feliz nocheviej mejor tod,0
1119,fin año sunderland hotel brindis qued dia buen dese van ahor feliz,0
1120,hij put mal canc graci pues sagitari ideal emergent primer neces,1
1121,altur soñ posibl pes sig pens imposiblefeliz año,0
1122,feliz año dese mejor,0
1123,arbol agath maravill “ encant fot -- {link},0
1124,graci twitt conoc gent maravill form sid impos va twitterfriends,0
1125,encant empez año amig graci,0
1126,igual mas bes rt bell seren año bes,0
1127,pas buen noch disfrut simplement quierojejejejegraci ser,0
1128,dejadm dec vezm sorprend sabi econom q plagi analisis propuest mes despues d critic ignor,1
1129,feliz dia manol tl -,0
1130,demand energ electr cierr año caid indic clar d recesion sient,1
1131,si buen polc “ strauss kahn”,0
1132,recuper feliz año sig fiest darl fuert abraz,0
1133,enlac funcion top ten tuits director “ compart si vist {link},0
1134,gust music miop falt mujer llam atencion sinfon español presenci mujer,1
1135,ayer desped año famili tod gent maravill maner original divertidafeliz año {link},0
1136,recuerd sinatr sient person beb levant mañan van mejor segun pas dia,1
1137,dir si “ ser año vuelv buenafuent casas”,0
1138,preci libr alt recomend altur anteriorl correccion goz {link},0
1139,descar total urdangarin negoc contrat dirigent gobiern bal palaci marivent {link},1
1140,haz dig hag pued hac titul val q compar ninis dobl moral suen,1
1141,“ buen hoy tv”,0
1142,rt sanz critic cinism psoe- calif rey recort {link},1
1143,clasic pon enferm cuant dos dias vacacion feliz grip nuev,1
1144,recomend cronic polit decision pas viern {link},0
1145,ohhhhhhhhhh v “ impresion soray lis {link},0
1146,enhorabuen rt cierr € {link} graci acompañ aun ayud cuernodeafr,0
1147,lin escrib carl hac sorprend hac mes habl,1
1148,buen dias asi amanec madr {link},0
1149,pagin {link} pens sobretod aport milit simpatiz congres pso,0
1150,diariosur sol dos cad diez arquitect viv exclus profesion {link},1
1151,“ twitt cort leñ expon argument q tronc demas dan hachaz muev leñ acab flecha”,1
1152,«ven ministeri interior ten carg sin asum carga» - abces {link} via,1
1153,ministr haciend cristobal montor anunci gobiern tom mas med urgent deficit seman via rtve,1
1154,parec gran calid hech chin {link},0
1155,congel sueld funcionari sig yend vacacion gratis total top secret,1
1156,salg mint compromet cerr rajoy mint compromet sub impuest,1
1157,esper nuev comunicadod eta despues march pres escuch gobiern rajoy respond albert lardies,1
1158,merkel sarkozy cameron coincid año dur,1
1159,trastiend pp valencian mir popular valencian clav fabr sirv {link},1
1160,tres ministr rajoy dan tres cifr estim objet deficit dia guind montor fernandez,1
1161,program ocult comisari merc carta- diktat bce ajuste+recortes+reform laboral+privatiz,1
1162,sig mañan okhay hablarahor voy ver peli dorm q rot buen noch,1
1163,nunc discut idiot gent podr not diferent kant via,1
1164,merc trat cambi caball president aunqu mit rio trat cambi direccion,1
1165,gobiern nobl histori recient {link} via,0
1166,port 'publico' mart patrimoni bursatil grand fortun crec {link},0
1167,cre fak asi col,1
1168,lueg dig medi comun herramient peligr,1
1169,“ abuel si queriajajaj pas esk solitario”jajajajaj,0
1170,lio cifr deficit guind monter j fernandez perjud gobiern deb habl cifr deb ser sol,1
1171,“un ajust aprob gobiern va hac econom par mas” rubalc,1
1172,rt “en ten agrup feder quier particip traves red,0
1173,reform ley penal anticip ministr justici sin interior corrig deficit haciend,1
1174,hoy primer concentr año victim metr valenci {link},1
1175,problem pso {link},1
1176,interes rt inici gobiern {link} opengov eadmin via,0
1177,gran dia anim,0
1178,“ igual dig crackabraz feliz año”amig mio ver vem,0
1179,“ madr cog pel jajaja”jajsjaj cuñ,0
1180,grafic pued hac trabaj justici oyen voc alto dic “no pued trabaj asi”,1
1181,mezcl verd rt alejandr sanz ensen qe music carreter maravill amo,0
1182,visteis especial atrevì jej rt val pen acost tard vert tel etern,0
1183,ver mir tim cos rt lind cont {link},0
1184,bdi hoy estren mari picaz tve clim extrem vid casi impos {link} amig,0
1185,graci anim,0
1186,pos acuerd fotograf precis cambi si cab norm limit fot congres {link},0
1187,avanz “ pued volv naufrag democraci narr hiz revolu frances,1
1188,modus operandi segu consej emple cas ere podr hab adopt consej {link},1
1189,mied acab navid enfrent realid porfiquenolleguerey,1
1190,apoy compañer public grandis profesional period bien plural ojal sobrev,0
1191,figur articul stev jobs d cm increibl realvent par d mes eeuucuant vender {link},0
1192,quier regal elprimernaufragi “ tem acapar part rey mag ”,0
1193,merit “ iphon jajaja” elprimernaufragi,0
1194,gust libert plural gust q medi comun pas dificultad abraz profesional public,1
1195,articul lector public {link} servici honest coherent fuerz anim compañer,0
1196,krugm siempr recomend keyn razon {link} via,0
1197,comic sal campofri podr hac tres campañ public,0
1198,“ realment golp estado” consej europ gust,1
1199,indign sub impuest ment q recort gast public asin sab deficit coherent,1
1200,model actual d medi perjud period libert d prens x depend l mayor dl controlsubvencion licenci d ls gobi,1
1201,pso dic bast ser honr sin q parec predic respond ramon pi,1
1202,t constitucional decid plen recurs tramit urgenci golp merc constitu español,1
1203,prepar gran sorpres promet encant q ser,0
1204,gracias-,0
1205,quer jesus abraz afect esper suert,0
1206,uff “ cad medi comunicacion cerr cerr autonomos”,1
1207,fin lleg flo liv on {link},0
1208,mil graci followercet segu twitcam ven sid divert,0
1209,perdon hech fot quer volv hog espartaa,0
1210,jugador madr tidav discotec doming - malag,1
1211,rt fuert madr -malag + info {link},1
1212,vamosmalag rt vam malag si val,0
1213,marc -,1
1214,tristez,1
1215,volv gol victori hic practic contundent ahor prepar clasic,0
1216,buen,0
1217,“ jajaj extrañabacoñ diantre”jajaj,0
1218,vam espartanos-,0
1219,andaluc cierr año person par {link} via,1
1220,alemani present cifr mas baj desemple ultim años,0
1221,libr electron abre huec españ {link} via,0
1222,dic socied acept impuest hart mentir {link},1
1223,ayunt abre centr ciudadan haz carpinter ciudadjardin {link} via,0
1224,medic dej comun valencian {link},1
1225,buen dias hac dia precios,0
1226,segurisim mand millon abraz rt feliz miercol cont {link},0
1227,buen resfri coruñ bell inclus gris rt cont {link},0
1228,sub irpf rajoy vulner doctrin constitucional {link} via,1
1229,ahor entiend tuit hac dias olul {link},0
1230,autor mir com brill suel lleg van desnuc tos mejor aeropuert españ especial malag,1
1231,aqu esper viaj suel ten retras casi siempr hombr esper aunqu merec pen esper,1
1232,pesam famili amig enriqu melchor gran guitarr pierd flamenc,1
1233,trabaj delant recog ide quier part ahor van propuest,0
